time[sec],v1,v2[A],v3[A],v4[mV],v5[mV],v6[nA]
96.69999999999878,-2.66,-71.7041015625,-11.0626220703125,-8.0,2597.906650641025,-14.1143798828125
96.79999999999878,-2.66,-70.8984375,-11.0626220703125,-8.0,2597.906650641025,-14.1143798828125
96.89999999999877,-2.66,-73.3154296875,-11.444091796875,-8.0,2597.906650641025,-14.8773193359375
96.99999999999876,-2.2800000000000002,-74.12109375,-11.8255615234375,-7.8999999999999915,2597.906650641025,-15.2587890625
97.09999999999876,-3.04,-72.509765625,-11.8255615234375,-8.099999999999994,2597.906650641025,-14.8773193359375
97.19999999999875,-2.2800000000000002,-74.12109375,-12.20703125,-8.199999999999989,2597.906650641025,-14.8773193359375
97.29999999999875,-1.9,-68.4814453125,-11.8255615234375,-8.199999999999989,2597.906650641025,-14.1143798828125
97.39999999999874,-1.9,-70.8984375,-11.8255615234375,-8.199999999999989,2597.906650641025,-14.495849609375
97.49999999999874,-1.9,-70.8984375,-11.444091796875,-8.0,2597.906650641025,-14.495849609375
97.59999999999873,-2.2800000000000002,-72.509765625,-11.444091796875,-8.199999999999989,2597.906650641025,-14.1143798828125
97.69999999999872,-2.2800000000000002,-70.8984375,-11.444091796875,-8.199999999999989,2597.906650641025,-14.495849609375
97.79999999999872,-1.52,-69.287109375,-11.0626220703125,-8.199999999999989,2597.906650641025,-13.3514404296875
97.89999999999871,-1.9,-72.509765625,-10.68115234375,-8.199999999999989,2597.906650641025,-13.3514404296875
97.9999999999987,-2.66,-70.8984375,-10.68115234375,-8.0,2597.906650641025,-14.1143798828125
98.0999999999987,-2.66,-70.0927734375,-9.918212890625,-7.8999999999999915,2597.906650641025,-14.1143798828125
98.1999999999987,-2.2800000000000002,-70.0927734375,-9.918212890625,-7.799999999999997,2597.906650641025,-13.73291015625
98.29999999999869,-2.66,-73.3154296875,-9.1552734375,-7.699999999999989,2597.906650641025,-13.73291015625
98.39999999999868,-2.66,-72.509765625,-9.1552734375,-7.599999999999994,2597.906650641025,-13.73291015625
98.49999999999868,-2.2800000000000002,-74.12109375,-9.5367431640625,-7.5,2597.906650641025,-14.1143798828125
98.59999999999867,-2.66,-70.0927734375,-9.1552734375,-7.599999999999994,2597.906650641025,-13.73291015625
98.69999999999867,-1.9,-72.509765625,-9.1552734375,-7.599999999999994,2597.906650641025,-13.3514404296875
98.79999999999866,-2.2800000000000002,-70.8984375,-9.1552734375,-7.699999999999989,2597.906650641025,-12.969970703125
98.89999999999866,-1.9,-70.0927734375,-9.1552734375,-7.599999999999994,2597.906650641025,-13.3514404296875
98.99999999999865,-1.9,-70.8984375,-8.7738037109375,-7.599999999999994,2597.906650641025,-13.3514404296875
99.09999999999864,-1.9,-70.8984375,-8.392333984375,-7.699999999999989,2597.906650641025,-12.5885009765625
99.19999999999864,-2.66,-74.9267578125,-8.7738037109375,-7.699999999999989,2597.906650641025,-12.5885009765625
99.29999999999863,-2.66,-70.8984375,-8.7738037109375,-7.8999999999999915,2597.906650641025,-12.20703125
99.39999999999863,-3.04,-70.8984375,-9.5367431640625,-8.0,2597.906650641025,-12.5885009765625
99.49999999999862,-1.9,-70.8984375,-9.918212890625,-8.199999999999989,2597.906650641025,-12.5885009765625
99.59999999999862,-2.66,-70.0927734375,-10.2996826171875,-8.299999999999997,2597.906650641025,-12.5885009765625
99.69999999999861,-2.66,-74.12109375,-10.68115234375,-8.299999999999997,2597.906650641025,-13.3514404296875
99.7999999999986,-2.66,-72.509765625,-11.0626220703125,-8.199999999999989,2597.906650641025,-13.3514404296875
99.8999999999986,-3.04,-71.7041015625,-11.444091796875,-8.199999999999989,2597.906650641025,-13.73291015625
99.9999999999986,-2.66,-73.3154296875,-11.444091796875,-8.299999999999997,2597.906650641025,-14.1143798828125
100.09999999999859,-2.66,-70.8984375,-11.8255615234375,-8.299999999999997,2597.906650641025,-14.1143798828125
100.19999999999858,-2.2800000000000002,-70.0927734375,-11.8255615234375,-8.299999999999997,2597.906650641025,-14.495849609375
100.29999999999858,-1.52,-71.7041015625,-11.8255615234375,-8.199999999999989,2597.906650641025,-14.8773193359375
100.39999999999857,-1.9,-70.8984375,-11.8255615234375,-8.199999999999989,2597.906650641025,-14.495849609375
100.49999999999856,-3.42,-73.3154296875,-12.20703125,-8.099999999999994,2597.906650641025,-14.8773193359375
100.59999999999856,-3.42,-72.509765625,-12.20703125,-8.099999999999994,2597.906650641025,-15.2587890625
100.69999999999855,-3.8,-72.509765625,-11.8255615234375,-8.099999999999994,2597.906650641025,-15.2587890625
100.79999999999855,-2.66,-74.12109375,-11.0626220703125,-8.099999999999994,2597.906650641025,-13.73291015625
100.89999999999854,-2.66,-72.509765625,-10.68115234375,-8.099999999999994,2597.906650641025,-13.73291015625
100.99999999999854,-1.9,-70.8984375,-11.0626220703125,-8.099999999999994,2597.906650641025,-14.495849609375
101.09999999999853,-2.2800000000000002,-72.509765625,-11.0626220703125,-8.0,2597.906650641025,-14.495849609375
101.19999999999852,-3.04,-74.12109375,-11.444091796875,-8.0,2597.906650641025,-14.1143798828125
101.29999999999852,-3.04,-71.7041015625,-11.0626220703125,-8.099999999999994,2597.906650641025,-14.1143798828125
101.39999999999851,-1.9,-72.509765625,-11.0626220703125,-8.099999999999994,2597.906650641025,-14.1143798828125
101.49999999999851,-3.04,-70.8984375,-11.444091796875,-8.199999999999989,2597.906650641025,-14.495849609375
101.5999999999985,-1.9,-69.287109375,-11.0626220703125,-8.199999999999989,2597.906650641025,-14.1143798828125
101.6999999999985,-2.2800000000000002,-71.7041015625,-10.68115234375,-8.199999999999989,2597.906650641025,-13.3514404296875
101.79999999999849,-2.66,-73.3154296875,-10.2996826171875,-8.199999999999989,2597.906650641025,-12.969970703125
101.89999999999849,-1.9,-70.0927734375,-9.918212890625,-8.0,2597.906650641025,-13.3514404296875
101.99999999999848,-2.66,-70.8984375,-9.1552734375,-7.8999999999999915,2597.906650641025,-12.969970703125
102.09999999999847,-2.66,-73.3154296875,-9.1552734375,-7.8999999999999915,2597.906650641025,-12.5885009765625
102.19999999999847,-2.66,-71.7041015625,-9.1552734375,-7.8999999999999915,2597.906650641025,-12.969970703125
102.29999999999846,-1.52,-70.8984375,-9.1552734375,-7.8999999999999915,2597.906650641025,-12.5885009765625
102.39999999999846,-1.9,-70.8984375,-9.5367431640625,-7.8999999999999915,2597.906650641025,-12.969970703125
102.49999999999845,-2.2800000000000002,-70.8984375,-9.918212890625,-7.8999999999999915,2597.906650641025,-13.73291015625
102.59999999999845,-1.9,-72.509765625,-9.1552734375,-7.8999999999999915,2597.906650641025,-12.5885009765625
102.69999999999844,-1.9,-70.8984375,-9.1552734375,-7.799999999999997,2597.906650641025,-12.969970703125
102.79999999999843,-2.66,-70.0927734375,-9.1552734375,-7.8999999999999915,2597.906650641025,-12.5885009765625
102.89999999999843,-2.2800000000000002,-71.7041015625,-8.7738037109375,-8.0,2597.906650641025,-12.5885009765625
102.99999999999842,-2.66,-71.7041015625,-9.1552734375,-7.8999999999999915,2597.906650641025,-12.969970703125
103.09999999999842,-3.04,-74.9267578125,-9.1552734375,-7.699999999999989,2597.906650641025,-13.3514404296875
103.19999999999841,-3.42,-73.3154296875,-9.5367431640625,-7.699999999999989,2597.906650641025,-13.3514404296875
103.2999999999984,-2.66,-73.3154296875,-9.5367431640625,-7.799999999999997,2597.906650641025,-12.969970703125
103.3999999999984,-2.66,-73.3154296875,-9.918212890625,-7.799999999999997,2597.906650641025,-13.73291015625
103.4999999999984,-2.66,-70.8984375,-10.2996826171875,-7.699999999999989,2597.906650641025,-14.495849609375
103.59999999999839,-3.42,-75.732421875,-10.2996826171875,-7.799999999999997,2597.906650641025,-14.495849609375
103.69999999999838,-3.04,-70.0927734375,-11.0626220703125,-7.799999999999997,2597.906650641025,-14.8773193359375
103.79999999999838,-2.2800000000000002,-71.7041015625,-11.444091796875,-8.0,2597.906650641025,-14.495849609375
103.89999999999837,-2.66,-70.8984375,-11.444091796875,-8.099999999999994,2597.906650641025,-14.1143798828125
103.99999999999837,-3.04,-74.12109375,-11.8255615234375,-8.199999999999989,2597.906650641025,-14.8773193359375
104.09999999999836,-3.04,-71.7041015625,-11.8255615234375,-8.0,2597.906650641025,-15.2587890625
104.19999999999835,-2.2800000000000002,-70.8984375,-11.0626220703125,-7.8999999999999915,2597.906650641025,-14.8773193359375
104.29999999999835,-2.2800000000000002,-72.509765625,-10.68115234375,-7.8999999999999915,2597.906650641025,-14.1143798828125
104.39999999999834,-1.9,-70.8984375,-10.2996826171875,-7.8999999999999915,2597.906650641025,-14.1143798828125
104.49999999999834,-2.66,-72.509765625,-9.5367431640625,-7.799999999999997,2597.906650641025,-13.73291015625
104.59999999999833,-3.42,-70.0927734375,-9.5367431640625,-7.799999999999997,2597.906650641025,-13.3514404296875
104.69999999999833,-3.04,-70.8984375,-9.5367431640625,-7.799999999999997,2597.906650641025,-13.3514404296875
104.79999999999832,-2.2800000000000002,-71.7041015625,-9.1552734375,-7.799999999999997,2597.906650641025,-12.969970703125
104.89999999999831,-2.2800000000000002,-70.8984375,-8.7738037109375,-7.799999999999997,2597.906650641025,-13.3514404296875
104.99999999999831,-2.2800000000000002,-70.8984375,-9.1552734375,-7.599999999999994,2597.906650641025,-13.73291015625
105.0999999999983,-1.9,-70.8984375,-8.7738037109375,-7.5,2597.906650641025,-13.73291015625
105.1999999999983,-3.04,-72.509765625,-8.7738037109375,-7.3999999999999915,2597.906650641025,-13.73291015625
105.29999999999829,-1.52,-70.0927734375,-8.392333984375,-7.5,2597.906650641025,-12.969970703125
105.39999999999829,-2.2800000000000002,-70.8984375,-8.392333984375,-7.3999999999999915,2597.906650641025,-13.3514404296875
105.49999999999828,-2.66,-71.7041015625,-8.392333984375,-7.299999999999997,2597.906650641025,-13.73291015625
105.59999999999827,-3.42,-71.7041015625,-8.7738037109375,-7.5,2597.906650641025,-13.3514404296875
105.69999999999827,-2.2800000000000002,-73.3154296875,-8.7738037109375,-7.5,2597.906650641025,-13.3514404296875
105.79999999999826,-3.04,-72.509765625,-8.7738037109375,-7.599999999999994,2597.906650641025,-12.969970703125
105.89999999999826,-3.04,-71.7041015625,-8.7738037109375,-7.699999999999989,2597.906650641025,-13.3514404296875
105.99999999999825,-3.04,-70.8984375,-9.1552734375,-7.699999999999989,2597.906650641025,-12.969970703125
106.09999999999825,-2.2800000000000002,-69.287109375,-8.7738037109375,-7.799999999999997,2597.906650641025,-12.969970703125
106.19999999999824,-1.52,-74.12109375,-8.7738037109375,-7.699999999999989,2597.906650641025,-12.969970703125
106.29999999999824,-2.66,-70.0927734375,-8.7738037109375,-7.799999999999997,2597.906650641025,-12.20703125
106.39999999999823,-2.66,-70.0927734375,-9.1552734375,-7.8999999999999915,2597.906650641025,-12.969970703125
106.49999999999822,-3.04,-72.509765625,-9.918212890625,-7.8999999999999915,2597.906650641025,-13.3514404296875
106.59999999999822,-3.04,-72.509765625,-9.918212890625,-7.8999999999999915,2597.906650641025,-13.3514404296875
106.69999999999821,-3.8,-70.8984375,-9.918212890625,-8.0,2597.906650641025,-13.3514404296875
106.7999999999982,-3.42,-73.3154296875,-9.918212890625,-8.0,2597.906650641025,-12.969970703125
106.8999999999982,-3.04,-71.7041015625,-10.2996826171875,-8.0,2597.906650641025,-13.73291015625
106.9999999999982,-2.66,-74.9267578125,-10.2996826171875,-7.8999999999999915,2597.906650641025,-13.73291015625
107.09999999999819,-3.04,-71.7041015625,-10.68115234375,-8.0,2597.906650641025,-14.1143798828125
107.19999999999818,-3.04,-73.3154296875,-10.68115234375,-7.8999999999999915,2597.906650641025,-14.495849609375
107.29999999999818,-3.04,-72.509765625,-10.2996826171875,-7.799999999999997,2597.906650641025,-14.1143798828125
107.39999999999817,-2.2800000000000002,-70.8984375,-10.2996826171875,-7.699999999999989,2597.906650641025,-14.495849609375
107.49999999999817,-1.9,-70.8984375,-10.68115234375,-7.699999999999989,2597.906650641025,-14.495849609375
107.59999999999816,-1.52,-72.509765625,-9.918212890625,-7.699999999999989,2597.906650641025,-14.1143798828125
107.69999999999816,-3.04,-73.3154296875,-9.5367431640625,-7.699999999999989,2597.906650641025,-13.73291015625
107.79999999999815,-2.66,-72.509765625,-9.1552734375,-7.799999999999997,2597.906650641025,-12.969970703125
107.89999999999814,-2.66,-72.509765625,-8.7738037109375,-7.699999999999989,2597.906650641025,-13.3514404296875
107.99999999999814,-2.66,-73.3154296875,-8.7738037109375,-7.599999999999994,2597.906650641025,-13.3514404296875
108.09999999999813,-3.42,-73.3154296875,-9.1552734375,-7.599999999999994,2597.906650641025,-13.73291015625
108.19999999999813,-3.42,-72.509765625,-9.1552734375,-7.599999999999994,2597.906650641025,-13.3514404296875
108.29999999999812,-3.8,-72.509765625,-9.5367431640625,-7.8999999999999915,2597.906650641025,-12.969970703125
108.39999999999812,-2.66,-72.509765625,-9.5367431640625,-7.8999999999999915,2597.906650641025,-12.969970703125
108.49999999999811,-1.9,-70.0927734375,-9.5367431640625,-7.8999999999999915,2597.906650641025,-12.969970703125
108.5999999999981,-1.9,-71.7041015625,-9.5367431640625,-8.0,2597.906650641025,-12.5885009765625
108.6999999999981,-2.66,-73.3154296875,-9.5367431640625,-8.0,2597.906650641025,-12.969970703125
108.7999999999981,-2.66,-72.509765625,-9.5367431640625,-7.8999999999999915,2597.906650641025,-12.969970703125
108.89999999999809,-3.04,-71.7041015625,-9.5367431640625,-7.8999999999999915,2597.906650641025,-13.3514404296875
108.99999999999808,-3.8,-72.509765625,-10.2996826171875,-7.799999999999997,2597.906650641025,-14.1143798828125
109.09999999999808,-3.04,-68.4814453125,-10.68115234375,-7.8999999999999915,2597.906650641025,-14.1143798828125
109.19999999999807,-2.2800000000000002,-70.8984375,-10.68115234375,-7.8999999999999915,2597.906650641025,-14.1143798828125
109.29999999999806,-1.9,-73.3154296875,-10.2996826171875,-7.8999999999999915,2597.906650641025,-14.1143798828125
109.39999999999806,-3.42,-72.509765625,-10.68115234375,-7.799999999999997,2597.906650641025,-14.8773193359375
109.49999999999805,-1.9,-71.7041015625,-10.68115234375,-7.799999999999997,2597.906650641025,-14.495849609375
109.59999999999805,-2.2800000000000002,-71.7041015625,-10.2996826171875,-7.8999999999999915,2597.906650641025,-14.1143798828125
109.69999999999804,-1.52,-73.3154296875,-10.2996826171875,-7.799999999999997,2597.906650641025,-14.1143798828125
109.79999999999804,-2.66,-72.509765625,-9.5367431640625,-7.799999999999997,2597.906650641025,-13.3514404296875
109.89999999999803,-2.66,-70.8984375,-9.5367431640625,-7.799999999999997,2597.906650641025,-13.3514404296875
109.99999999999802,-1.9,-70.8984375,-9.1552734375,-7.699999999999989,2597.906650641025,-12.969970703125
110.09999999999802,-3.04,-72.509765625,-8.7738037109375,-7.699999999999989,2597.906650641025,-12.969970703125
110.19999999999801,-3.04,-73.3154296875,-8.7738037109375,-7.599999999999994,2597.906650641025,-12.969970703125
110.29999999999801,-2.66,-73.3154296875,-8.392333984375,-7.699999999999989,2597.906650641025,-12.5885009765625
110.399999999998,-3.04,-72.509765625,-8.392333984375,-7.599999999999994,2597.906650641025,-12.5885009765625
110.499999999998,-2.66,-70.0927734375,-8.392333984375,-7.599999999999994,2597.906650641025,-12.969970703125
110.59999999999799,-3.04,-73.3154296875,-8.392333984375,-7.699999999999989,2597.906650641025,-12.5885009765625
110.69999999999798,-2.66,-71.7041015625,-8.392333984375,-7.699999999999989,2597.906650641025,-12.20703125
110.79999999999798,-2.66,-71.7041015625,-8.392333984375,-7.799999999999997,2597.906650641025,-12.20703125
110.89999999999797,-2.66,-73.3154296875,-8.392333984375,-7.799999999999997,2597.906650641025,-12.5885009765625
110.99999999999797,-3.42,-72.509765625,-8.7738037109375,-7.699999999999989,2597.906650641025,-12.969970703125
111.09999999999796,-3.04,-71.7041015625,-8.7738037109375,-7.699999999999989,2597.906650641025,-12.969970703125
111.19999999999796,-3.04,-70.8984375,-9.1552734375,-7.699999999999989,2597.906650641025,-13.3514404296875
111.29999999999795,-2.2800000000000002,-72.509765625,-9.1552734375,-7.699999999999989,2597.906650641025,-13.3514404296875
111.39999999999795,-2.2800000000000002,-72.509765625,-9.1552734375,-7.699999999999989,2597.906650641025,-13.3514404296875
111.49999999999794,-3.04,-70.0927734375,-9.5367431640625,-7.799999999999997,2597.906650641025,-13.3514404296875
111.59999999999793,-3.04,-71.7041015625,-10.2996826171875,-7.799999999999997,2597.906650641025,-14.1143798828125
111.69999999999793,-3.42,-71.7041015625,-10.68115234375,-7.699999999999989,2597.906650641025,-14.495849609375
111.79999999999792,-3.42,-71.7041015625,-11.0626220703125,-7.8999999999999915,2597.906650641025,-14.495849609375
111.89999999999792,-2.66,-73.3154296875,-11.0626220703125,-7.8999999999999915,2597.906650641025,-14.495849609375
111.99999999999791,-3.8,-73.3154296875,-11.0626220703125,-7.8999999999999915,2597.906650641025,-14.495849609375
112.0999999999979,-3.8,-72.509765625,-11.444091796875,-7.8999999999999915,2597.906650641025,-14.495849609375
112.1999999999979,-3.8,-73.3154296875,-11.444091796875,-7.8999999999999915,2597.906650641025,-14.8773193359375
112.2999999999979,-3.42,-72.509765625,-11.0626220703125,-8.0,2597.906650641025,-14.1143798828125
112.39999999999789,-2.66,-70.0927734375,-11.0626220703125,-7.8999999999999915,2597.906650641025,-14.8773193359375
112.49999999999788,-2.66,-71.7041015625,-11.444091796875,-7.799999999999997,2597.906650641025,-14.8773193359375
112.59999999999788,-1.9,-70.8984375,-11.0626220703125,-8.0,2597.906650641025,-14.495849609375
112.69999999999787,-2.66,-72.509765625,-11.0626220703125,-8.0,2597.906650641025,-14.495849609375
112.79999999999787,-3.04,-71.7041015625,-11.0626220703125,-8.0,2597.906650641025,-14.1143798828125
112.89999999999786,-2.66,-71.7041015625,-11.0626220703125,-8.0,2597.906650641025,-14.1143798828125
112.99999999999785,-2.2800000000000002,-70.8984375,-10.2996826171875,-8.099999999999994,2597.906650641025,-13.3514404296875
113.09999999999785,-2.66,-70.8984375,-9.918212890625,-8.0,2597.906650641025,-13.3514404296875
113.19999999999784,-2.2800000000000002,-70.0927734375,-9.5367431640625,-7.8999999999999915,2597.906650641025,-12.969970703125
113.29999999999784,-1.1400000000000001,-70.8984375,-8.7738037109375,-7.799999999999997,2597.906650641025,-12.969970703125
113.39999999999783,-1.9,-70.8984375,-8.392333984375,-7.799999999999997,2597.906650641025,-12.5885009765625
113.49999999999783,-1.9,-68.4814453125,-8.7738037109375,-7.799999999999997,2597.906650641025,-12.969970703125
113.59999999999782,-2.2800000000000002,-72.509765625,-8.0108642578125,-7.599999999999994,2597.906650641025,-12.20703125
113.69999999999781,-2.2800000000000002,-70.8984375,-7.62939453125,-7.5,2597.906650641025,-12.5885009765625
113.79999999999781,-1.9,-70.8984375,-7.62939453125,-7.599999999999994,2597.906650641025,-12.20703125
113.8999999999978,-2.2800000000000002,-70.8984375,-7.62939453125,-7.3999999999999915,2597.906650641025,-12.5885009765625
113.9999999999978,-2.2800000000000002,-71.7041015625,-7.62939453125,-7.199999999999989,2597.906650641025,-13.3514404296875
114.09999999999779,-2.66,-71.7041015625,-7.62939453125,-7.199999999999989,2597.906650641025,-13.3514404296875
114.19999999999779,-2.66,-72.509765625,-7.62939453125,-7.099999999999994,2597.906650641025,-13.3514404296875
114.29999999999778,-2.2800000000000002,-71.7041015625,-7.2479248046875,-7.0,2597.906650641025,-13.73291015625
114.39999999999777,-2.2800000000000002,-72.509765625,-7.62939453125,-7.0,2597.906650641025,-13.73291015625
114.49999999999777,-2.66,-70.0927734375,-8.0108642578125,-7.0,2597.906650641025,-14.495849609375
114.59999999999776,-2.66,-73.3154296875,-7.62939453125,-7.199999999999989,2597.906650641025,-12.969970703125
114.69999999999776,-2.2800000000000002,-70.8984375,-8.0108642578125,-7.299999999999997,2597.906650641025,-12.969970703125
114.79999999999775,-3.42,-70.8984375,-8.0108642578125,-7.5,2597.906650641025,-12.20703125
114.89999999999775,-1.52,-72.509765625,-8.0108642578125,-7.699999999999989,2597.906650641025,-12.20703125
114.99999999999774,-3.04,-71.7041015625,-8.7738037109375,-7.699999999999989,2597.906650641025,-12.969970703125
115.09999999999773,-3.04,-72.509765625,-9.1552734375,-7.799999999999997,2597.906650641025,-13.3514404296875
115.19999999999773,-3.04,-72.509765625,-9.918212890625,-7.799999999999997,2597.906650641025,-13.3514404296875
115.29999999999772,-3.42,-74.12109375,-9.918212890625,-7.8999999999999915,2597.906650641025,-13.73291015625
